id	username	email_address	phone_number	first_name	last_name	middle_name	sex	birthdate	join_date	previous_logins	last_ip
1	juanm	juan.morgan@gmail.com	792-637-097	Juan	Morgan	Andrew	MALE	1945-07-01	2010-07-24T03:51:50.648-07:00	2241	45.255.184.239
2	ephelps	elijah.phelps@mail.com	010-666-111	Elijah	Phelps		MALE	2009-01-02	2007-06-20T04:21:55.338-07:00	3095	119.171.50.239
3	jdotson	dotson@yahoo.com	004-195-786	Jace	Dotson		MALE	1962-09-24	2014-09-06T02:22:35.532-07:00	9702	9.189.111.216
4	rbarrera	barrera@mail.com	125-819-5513	Reagan	Barrera	Nevaeh	FEMALE	2015-05-06	2014-08-05T01:05:02.753-07:00	5980	65.109.214.129
5	acooley	cooley@mail.com	505-874-2988	Angel	Cooley		MALE	1954-01-01	2011-08-29T18:55:53.549-07:00	5571	112.96.170.191
6	josiahb	bradford@mail.com	907-412-6438	Josiah	Bradford	Charles	MALE	1992-12-07	2010-12-29T13:52:57.591-08:00	4168	133.4.89.184
7	dlarsen	daniel.larsen@mail.com	922-574-352	Daniel	Larsen	Carter	MALE	1926-04-06	2013-09-25T14:42:23.802-07:00	7596	239.68.141.251
8	cjenkins	jenkins@mail.com	285-957-066	Cameron	Jenkins		MALE	2003-11-03	2014-05-09T07:36:41.890-07:00	8087	66.187.74.34
9	nolane	nolan.erickson@yahoo.com	650-556-024	Nolan	Erickson	Ryan	MALE	1977-05-06	2009-11-01T03:15:25.150-08:00	5186	91.217.190.192
10	braydenb	boyer@mail.com	136-620-941	Brayden	Boyer	Samuel	MALE	1929-01-21	2011-01-13T22:13:16.572-08:00	1620	245.43.20.214
11	aware	ware@gmail.com	750-873-2643	Aaron	Ware		MALE	2004-09-29	2006-10-16T13:27:41.137-07:00	6051	29.156.55.162
12	jacobs	snyder@mail.com	959-237-295	Jacob	Snyder	Evan	MALE	1980-11-26	2012-03-19T01:45:01.736-07:00	2372	99.17.145.189
13	lcameron	cameron@mail.com	062-424-0875	Logan	Cameron	Parker	MALE	1992-06-15	2010-08-12T09:24:54.666-07:00	7457	206.211.241.219
14	knolan	nolan@mail.com	090-351-891	Khloe	Nolan	Kimberly	FEMALE	1980-07-14	2009-12-28T06:20:54.621-08:00	9126	245.228.170.165
15	cgomez	chase.gomez@gmail.com	272-432-2427	Chase	Gomez	Jace	MALE	2015-10-02	2013-03-15T01:49:56.668-07:00	695	177.169.47.174
16	xharper	harper@gmail.com	449-340-853	Xavier	Harper		MALE	2002-04-10	2011-06-03T23:34:34.728-07:00	6361	239.130.110.218
17	bpadilla	padilla@gmail.com	846-574-580	Brooklyn	Padilla	Morgan	FEMALE	1996-04-13	2013-03-16T18:07:54.853-07:00	45	218.47.58.98
18	hudsonm	hudsonmacias@mail.com	068-365-538	Hudson	Macias		MALE	1995-07-02	2012-06-21T06:34:07.439-07:00	455	81.35.88.107
19	arobles	robles@gmail.com	562-819-621	Alexandra	Robles	Genesis	FEMALE	1940-10-21	2011-08-07T22:48:50.025-07:00	693	241.75.220.248
20	carsone	carson.english@gmail.com	102-284-059	Carson	English	Aiden	MALE	2006-11-06	2013-10-10T13:24:25.549-07:00	7172	69.69.101.162
21	stellam	stellamoon@gmail.com	224-591-6259	Stella	Moon		FEMALE	1992-07-07	2009-08-25T05:55:09.829-07:00	3602	40.178.103.153
22	aworkman	aaliyah.workman@gmail.com	146-619-0671	Aaliyah	Workman	Charlotte	FEMALE	2000-04-05	2012-10-20T01:48:12.176-07:00	2742	69.217.89.83
23	annab	annabowen@gmail.com	437-092-6839	Anna	Bowen	Ella	FEMALE	2006-07-12	2010-02-03T02:39:42.047-08:00	3245	113.240.106.79
24	katherinea	allison@yahoo.com	088-891-391	Katherine	Allison		FEMALE	1996-02-02	2009-08-01T05:59:58.001-07:00	8675	170.51.176.105
25	jacobf	franco@mail.com	813-877-787	Jacob	Franco	Logan	MALE	1988-02-18	2010-07-12T14:01:18.881-07:00	4510	159.105.113.25
26	abradley	aiden.bradley@gmail.com	208-435-218	Aiden	Bradley	Joseph	MALE	2012-01-04	2006-02-20T01:31:08.593-08:00	9314	227.133.142.192
27	mgilliam	gilliam@gmail.com	659-746-9251	Madeline	Gilliam	Ella	FEMALE	1998-09-18	2010-07-23T17:44:08.267-07:00	6959	139.29.54.134
